"Account","Security Description","Quantity","Currency Type","Asset Type","Unit Cost","Total Cost","Current Price","Market Value","Gain or Loss","Gain or Loss %","TT$ Market Value","% of Total Value","TT$ Gain or Loss","TT$ Gain or Loss %"
"ayt10535","GUARDIAN HOLDINGS LIMITED","330","USD","COMMON STOCK","30.510000228881836","10069.2900390625","26.209999084472656","8649.2998046875","-1419.989990234375","-14","8649.2998046875","0.22750000655651093","-1419.989990234375","-14"
"ayt10535","ADVANCED MICRO DEVICES INC","105","USD","COMMON STOCK","98.25","10316","100.44000244140625","10546.2001953125","230.1999969482422","2","71402.84375","1.8779000043869019","1591.97998046875","2"
"ayt10535","CHEVRON CORP NEW COM","20","USD","COMMON STOCK","176.10000610351562","3522","159.02000427246094","3180.39990234375","-341.6000061035156","-9","21532.83984375","0.5662999749183655","-2248.389892578125","-9"
"ayt10535","COSTCO WHOLESALE CORP","10","USD","COMMON STOCK","462.20001220703125","4622","560.9600219726562","5609.60009765625","987.5999755859375","21","37979.69140625","0.9988999962806702","6665.330078125","21"
"ayt10535","DIAMOND BACK ENERGY INC","55","USD","COMMON STOCK","136.7100067138672","7519","130.07000732421875","7153.85009765625","-365.1499938964844","-4","48435","1.273800015449524","-2395.010009765625","-4"
"ayt10535","FIVE9 INC","30","USD","COMMON STOCK","100.7300033569336","3022","112.4000015258789","3372","350","11","22830.060546875","0.6003999710083008","2424.929931640625","11"
"ayt10535","FORD MOTOR CO DEL COM PAR","700","USD","COMMON STOCK","15.270000457763672","10690","16.149999618530273","11305","615","5","76540.28125","2.013000011444092","4212.81005859375","5"
"ayt10535","LSB INDUSTRIES INC","825","GBP","COMMON STOCK","13.710000038146973","11310","13.930000305175781","11492.25","182.25","1","77808.0625","2.046299934387207","1087.9000244140625","1"
"ayt10535","M/I HOMES INC","225","GBP","COMMON STOCK","45.959999084472656","10340.0498046875","46.900001525878906","10552.5","212.4499969482422","2","71445.5","1.878999948501587","1316.219970703125","1"
"ayt10535","MICRON TECHNOLOGY INC ISIN US5951121038","45","GBP","COMMON STOCK","71.44000244140625","3215","62.97999954223633","2834.10009765625","-380.8999938964844","-11","19188.220703125","0.5045999884605408","-2578.8798828125","-11"
"ayt10535","MICROSOFT CORP COM","15","GBP","COMMON STOCK","251.47000122070312","3772","290.1700134277344","4352.5498046875","580.5499877929688","15","29468.859375","0.7749999761581421","3930.60009765625","15"
"ayt10535","MOSAIC CO","200","GBP","COMMON STOCK","55.20000076293945","11040.2001953125","54.72999954223633","10946","-94.19999694824219","0","74109.6796875","1.9491000175476074","-567.5399780273438","0"
"ayt10535","NVIDIA CORP","20","GBP","COMMON STOCK","188.0800018310547","3761.60009765625","187.72999572753906","3754.60009765625","-7","0","25420.44921875","0.6685000061988831","-12.949999809265137","0"
"ayt10535","PALO ALTO NETWORKS INC","20","GBP","COMMON STOCK","504.1300048828125","10082.509765625","517.8499755859375","10357","274.489990234375","2","70121.8671875","1.8442000150680542","1915.52001953125","2"
"ayt10535","SERVICENOW INC.","25","GBP","COMMON STOCK","446.6400146484375","11166","489.6000061035156","12240","1074","9","82870.6796875","2.179500102996826","7180.47021484375","9"
"ayt10535","TESLA MOTORS INC","105","GBP","COMMON STOCK","1017.3599853515625","106822.3671875","908.6099853515625","95404.046875","-11418.3203125","-10","645931.25","16.98780059814453","-78674.46875","-10"
"ayt10535","VALE SA ADR ISIN#US91912E1055","1050","GBP","AMERICAN DEPOSITORY RECEIPTS","13.8100004196167","14499","13.100000381469727","13755","-744","-5","93127.9609375","2.449199914932251","-4955.91015625","-5"
"ayt10537","CLICO INVESTMENT FUND","910","USD","MUTUAL FUNDS","23.399999618530273","21292.94921875","30.520000457763672","27773.19921875","6480.25","30","27773.19921875","0.730400025844574","6480.25","30"
"ayt10537","ALPHABET INC - CLASS A SHARES","100","USD","COMMON STOCK","110.22000122070312","11022","120.16999816894531","12017","995","9","81360.8671875","2.1398000717163086","6584.75","8"
"ayt10537","CROWDSTRIKE HOLDINGS INC.","55","USD","COMMON STOCK","184.55999755859375","10150.900390625","195.75999450683594","10766.7998046875","615.9000244140625","6","72896.40625","1.917099952697754","4246.52001953125","6"
"ayt10537","ENERGY TRANSFER LP","900","USD","COMMON STOCK","11.5","10351.5","11.930000305175781","10737","385.5","3","72694.6484375","1.9118000268936157","2698.340087890625","3"
"ayt10537","HALLIBURTON CO COM","350","GBP","COMMON STOCK","28.700000762939453","10044","29.829999923706055","10440.5","396.5","3","70687.203125","1.8589999675750732","2527.64990234375","3"
"ayt10537","SQUARE INC - A","40","GBP","COMMON STOCK","83.48999786376953","3339.760009765625","79.72000122070312","3188.800048828125","-150.9600067138672","-4","21589.7109375","0.567799985408783","-961","-4"
